"village";"slug";"code_postal";"coordonnees";"region";"country";"year"
"Pettorano sul Gizio";"pettorano sul gizio";"NULL";"41.97562,13.95992";"Abruzzo";"Italia";"NULL"
"Pietracamela";"pietracamela";"NULL";"42.52436,13.55382";"Abruzzo";"Italia";"NULL"
"Pietramontecorvino";"pietramontecorvino";"NULL";"41.54269,15.12879";"Puglia";"Italia";"NULL"
"Pietrapertosa";"pietrapertosa";"NULL";"40.5193813,16.0629292";"Basilicata";"Italia";"NULL"
"Pitigliano";"pitigliano";"NULL";"42.63627,11.67445";"Toscana";"Italia";"NULL"
"Poffabro";"poffabro";"NULL";"46.21324,12.72677";"Friuli Venezia Giulia";"Italia";"NULL"
"Polcenigo";"polcenigo";"NULL";"46.03061,12.501901";"Friuli Venezia Giulia";"Italia";"NULL"
"Pomponesco";"pomponesco";"NULL";"44.938071,10.597572";"Lombardia";"Italia";"NULL"
"Poppi";"poppi";"NULL";"43.7326,11.76344";"Toscana";"Italia";"NULL"
"Porana";"porana";"NULL";"45.036572298071,9.0483999252319";"Lombardia";"Italia";"NULL"
"Porto Ercole";"porto ercole";"NULL";"42.393380,11.203645";"Toscana";"Italia";"NULL"
"Portobuffole";"portobuffole";"NULL";"45.85628,12.5374";"Veneto";"Italia";"NULL"
"Presicce";"presicce";"NULL";"39.902132,18.261802";"Puglia";"Italia";"NULL"
"Pretoro";"pretoro";"NULL";"42.217125,14.139578";"Abruzzo";"Italia";"NULL"
"Rango";"rango";"NULL";"46.02513,10.83781";"Trentino Alto Adige";"Italia";"NULL"
"Ricetto di Candelo";"ricetto di candelo";"NULL";"45.54477,8.10961";"Piemonte";"Italia";"NULL"
"Rocca San Giovanni";"rocca san giovanni";"NULL";"42.248105164893,14.462749958038";"Abruzzo";"Italia";"NULL"
"Roseto Valfortore";"roseto valfortore";"NULL";"41.371076221917,15.094903707504";"Puglia";"Italia";"NULL"
"S. Stefano di Sessanio";"s. stefano di sessanio";"NULL";"42.34408,13.64319";"Abruzzo";"Italia";"NULL"
"Sabbioneta";"sabbioneta";"NULL";"44.999873,10.489601";"Lombardia";"Italia";"NULL"
"Sambuca di Sicilia";"sambuca di sicilia";"NULL";"37.648015,13.110999";"Sicilia";"Italia";"NULL"
"San Benedetto Po";"san benedetto po";"NULL";"45.0392407,10.9325185";"Lombardia";"Italia";"NULL"
"San Casciano dei Bagni";"san casciano dei bagni";"NULL";"42.87172,11.87531";"Toscana";"Italia";"NULL"
"San Gemini";"san gemini";"NULL";"42.609706213394,12.542942762375";"Umbria";"Italia";"NULL"
"San Ginesio";"san ginesio";"NULL";"43.10743,13.32608";"Marche";"Italia";"NULL"
"San Giovanni in Marignano";"san giovanni in marignano";"NULL";"43.939984,12.710056";"Emilia Romagna";"Italia";"NULL"
"San Leo";"san leo";"NULL";"43.8964637,12.3432723";"Emilia Romagna";"Italia";"NULL"
"San Lorenzo Dorsino borgo di San Lorenzo in B";"san lorenzo dorsino borgo di san lorenzo in banale";"NULL";"46.076959445239,10.907084941864";"Trentino Alto Adige";"Italia";"NULL"
"San Marco d´Alunzio";"san marco d´alunzio";"NULL";"38.072546520678,14.700189828873";"Sicilia";"Italia";"NULL"
"Santa Severina";"santa severina";"NULL";"39.14764,16.91569";"Calabria";"Italia";"NULL"
"Sant´Agata de´Goti";"sant´agata de´goti";"NULL";"41.090123,14.503105";"Campania";"Italia";"NULL"
"Sarnano";"sarnano";"NULL";"43.034258563838,13.296825885773";"Marche";"Italia";"NULL"
"Savoca";"savoca";"NULL";"37.9539754,15.3404584";"Sicilia";"Italia";"NULL"
"Scanno";"scanno";"NULL";"41.90175,13.88275";"Abruzzo";"Italia";"NULL"
"Scarperia e San Piero borgo di Scarperia";"scarperia e san piero borgo di scarperia";"NULL";"43.99313,11.35497";"Toscana";"Italia";"NULL"
