village;slug;code_postal;coordonnees;region;country;year
Brisighella;brisighella;;44.22263,11.77604;"Emilia Romagna";Italia;
Bobbio;bobbio;;44.771721086403,9.3871736526489;"Emilia Romagna";Italia;
Venzone;venzone;;46.334077,13.139616;"Friuli Venezia Giulia";Italia;
"Valvasone Arzene borgo di Valvasone";"valvasone arzene borgo di valvasone";;45.996007589496,12.869045734406;"Friuli Venezia Giulia";Italia;
"Trivignano Udinese Borgo di Clauiano";"trivignano udinese borgo di clauiano";;45.90664,13.3107;"Friuli Venezia Giulia";Italia;
"Travesio Borgo di Toppo";"travesio borgo di toppo";;46.074183,13.120193;"Friuli Venezia Giulia";Italia;
"Sesto al Reghena";"sesto al reghena";;45.847029,12.815548;"Friuli Venezia Giulia";Italia;
Polcenigo;polcenigo;;46.03061,12.501901;"Friuli Venezia Giulia";Italia;
Poffabro;poffabro;;46.21324,12.72677;"Friuli Venezia Giulia";Italia;
"Gradisca d´Isonzo";"gradisca d´isonzo";;45.89174,13.4913;"Friuli Venezia Giulia";Italia;
Fagagna;fagagna;;46.11381,13.09208;"Friuli Venezia Giulia";Italia;
Cordovado;cordovado;;45.84322,12.88535;"Friuli Venezia Giulia";Italia;
Portobuffole;portobuffole;;45.85628,12.5374;Veneto;Italia;
Montagnana;montagnana;;45.232395,11.467041;Veneto;Italia;
"Cison di Valmarino";"cison di valmarino";;45.990283,12.14653;Veneto;Italia;
Borghetto;borghetto;;45.35744,10.71665;Veneto;Italia;
Asolo;asolo;;45.79389,11.91247;Veneto;Italia;
"Arqua Petrarca";"arqua petrarca";;45.26996,11.71683;Veneto;Italia;
Vipiteno;vipiteno;;46.89915,11.4312;"Trentino Alto Adige";Italia;
"San Lorenzo Dorsino borgo di San Lorenzo in B";"san lorenzo dorsino borgo di san lorenzo in banale";;46.076959445239,10.907084941864;"Trentino Alto Adige";Italia;
Rango;rango;;46.02513,10.83781;"Trentino Alto Adige";Italia;
Mezzano;mezzano;;46.15563,11.809074;"Trentino Alto Adige";Italia;
Glorenza;glorenza;;46.67095,10.55489;"Trentino Alto Adige";Italia;
Egna;egna;;46.311911,11.272688;"Trentino Alto Adige";Italia;
Chiusa;chiusa;;46.63967,11.56491;"Trentino Alto Adige";Italia;
"Canale di Tenno";"canale di tenno";;45.92913,10.82454;"Trentino Alto Adige";Italia;
Zavattarello;zavattarello;;44.86841,9.26525;Lombardia;Italia;
"Tremosine sul Garda";"tremosine sul garda";;45.7715586,10.7601975;Lombardia;Italia;
"Tremezzina borgo di Tremezzo";"tremezzina borgo di tremezzo";;45.984393952797,9.2203617095947;Lombardia;Italia;
Soncino;soncino;;45.4011111,9.8709629;Lombardia;Italia;
"San Benedetto Po";"san benedetto po";;45.0392407,10.9325185;Lombardia;Italia;
Sabbioneta;sabbioneta;;44.999873,10.489601;Lombardia;Italia;
Porana;porana;;45.036572298071,9.0483999252319;Lombardia;Italia;
Pomponesco;pomponesco;;44.938071,10.597572;Lombardia;Italia;
Morimondo;morimondo;;45.355372,8.954648;Lombardia;Italia;
"Monte Isola";"monte isola";;45.71641,10.07996;Lombardia;Italia;
Lovere;lovere;;45.81045,10.06927;Lombardia;Italia;
Gromo;gromo;;45.9650185,9.9281296;Lombardia;Italia;
Gradella;gradella;;45.42472,9.53107;Lombardia;Italia;
Fortunago;fortunago;;44.9224,9.18471;Lombardia;Italia;
"Curtatone Borgo di Grazie";"curtatone borgo di grazie";;45.153504,10.694770;Lombardia;Italia;
"Cornello dei Tasso";"cornello dei tasso";;45.902134,9.653739;Lombardia;Italia;
Castelponzone;castelponzone;;45.06364,10.31388;Lombardia;Italia;
"Castellaro Lagusello";"castellaro lagusello";;45.37511,10.63822;Lombardia;Italia;
"Cassinetta di Lugagnano";"cassinetta di lugagnano";;45.426648,8.909712;Lombardia;Italia;
Bienno;bienno;;45.93656,10.29458;Lombardia;Italia;
Zuccarello;zuccarello;;44.111261676764,8.1156027317047;Liguria;Italia;
Vernazza;vernazza;;44.1362592,9.6850185;Liguria;Italia;
"Varese Ligure";"varese ligure";;44.377697181369,9.5945513248444;Liguria;Italia;
Triora;triora;;43.99232,7.76673;Liguria;Italia;
Tellaro;tellaro;;44.0597,9.93688;Liguria;Italia;
Seborga;seborga;;43.825803,7.694708;Liguria;Italia;
Noli;noli;;44.20566,8.41634;Liguria;Italia;
Montemarcello;montemarcello;;44.046103016711,9.9658226966858;Liguria;Italia;
Moneglia;moneglia;;44.228309,9.5292357;Liguria;Italia;
Millesimo;millesimo;;44.36438,8.20597;Liguria;Italia;
Lingueglietta;lingueglietta;;43.8669678,7.9297293;Liguria;Italia;
Laigueglia;laigueglia;;43.9798518,8.1584444;Liguria;Italia;
Framura;framura;;44.208958,9.554329;Liguria;Italia;
Finalborgo;finalborgo;;44.17702,8.32501;Liguria;Italia;
"Colletta di Castelbianco";"colletta di castelbianco";;44.113156631527,8.0748331546783;Liguria;Italia;
